id	Tournament	Sex	Year	Player1	Player2	Round	Result	FNL.1	FNL.2	FSP.1	FSW.1	SSP.1	SSW.1	ACE.1	DBF.1	WNR.1	UFE.1	BPC.1	BPW.1	NPA.1	NPW.1	TPW.1	ST1.1	ST2.1	ST3.1	ST4.1	ST5.1	FSP.2	FSW.2	SSP.2	SSW.2	ACE.2	DBF.2	WNR.2	UFE.2	BPC.2	BPW.2	NPA.2	NPW.2	TPW.2	ST1.2	ST2.2	ST3.2	ST4.2	ST5.2
0	FrenchOpen	men	2013	Jarkko Nieminen	Paul-Henri Mathieu	1	1	3	2	69	84	31	29	11	4	57	42	6	7	8	13	172	6	4	7	4	6	54	58	46	36	7	8	60	71	5	15	24	33	163	4	6	6	6	2
3	AusOpen	women	2013	Varvara Lepchenko	Simona Halep	2	0	1	2	63	34	37	10	1	4	23	47	2	2	9	10	66	6	0	1			58	29	42	16	0	3	10	19	6	15	1	2	90	4	6	6		
4	Wimbledon	women	2013	H.Watson	M.Keys	1	0	0	2	53	18	47	13	4	2	11	15	5	2	7	4		3	5				63	25	37	10	8	2	23	18	7	5	8	5		6	7			
7	USOpen	women	2013	S Williams	F Schiavone	1	1	2	0	51	13	49	12	1	0	13	8	9	6	8	6		6	6				43	8	57	5	0	8	3	18	0	0	6	3		0	1			
9	AusOpen	women	2013	Tadeja Majeric	Ajla Tomljanovic	1	0	1	2	72	54	28	10	4	7	4	7	3	6			99	6	6	4			49	36	51	25	5	6	5	6	3	6			97	3	7	6		
11	USOpen	women	2013	C Giorgi	R Vinci	4	0	0	2	54	18	46	11	2	7	20	35	1	1	16	7		4	2				54	19	46	15	6	0	12	9	8	4	5	4		6	6			
13	USOpen	women	2013	L Robson	C Garcia	2	1	2	0	59	28	41	17	8	2	23	21	2	1	5	4		6	7				64	31	36	17	7	3	20	23	2	2	10	7		4	6			
16	FrenchOpen	men	2013	Lukas Lacko	Sam Querrey	1	0	0	3	52	31	48	22	4	4	21	24	1	1	3	5	72	3	4	4			58	39	42	19	10	1	42	37	4	7	12	13	93	6	6	6		
19	USOpen	men	2013	Novak Djokovic	Mikhail Youzhny	1	1	3	1	68	49	32	19	5	1			7	12	27	39	115	6	6	3	6		56	29	44	23	2	4			2	10	10	21	87	3	2	6	0	
23	AusOpen	men	2013	Tomas Berdych	David Ferrer	5	1	3	1	52	52	48	27	10	4	43	62	5	13	18	28	128	6	6	2	6		61	46	39	23	2	1	30	46	3	12	12	13	119	1	4	6	4	
24	Wimbledon	men	2013	W.Odesnik	Y-T.Wang	1	0	2	3	70	73	30	28	6	2	52	60	12	8	35	21		6	6	2	6	5	69	69	31	22	9	2	50	59	25	9	52	35		7	4	6	3	7
25	USOpen	women	2013	J Jankovic	N Li	4	0	0	2	66	8	34	3	0	4	7	22	3	2	6	3		3	0				58	17	42	8	3	2	20	12	7	7	12	10		6	6			
26	AusOpen	men	2013	Robin Haase	Donald Young	1	0	1	3	67	56	33	18	11	6	38	56	1	4	13	15	106	7	6	2	0		73	58	27	16	0	5	34	33	2	7	29	40	124	6	7	6	1	
28	AusOpen	women	2013	Flavia Pennetta	Monica Puig	2	1	2	0	45	22	55	18	9	0	21	14	2	6	4	4	67	6	6				45	21	55	16	5	6	19	38	0	0	11	16	50	3	4			
